# index code colatitude longitude radius 
34 NGK 38.114743594178897 12.675000000000001 6364.9519365655442
35 VAL 38.253968823340358 349.75000000000000 6364.9323764236915
36 HAD 39.193356810440939 355.51700000000000 6365.3572198366846
37 MAB 39.891248658422789 5.6820000000000004 6365.9617374263744
38 DOU 40.092494905153281 4.5949999999999998 6365.8036387697848
39 PRU 40.209626321528567 14.550000000000001 6365.9676957868624
40 WIK 41.926238712039961 16.318000000000001 6366.6728402971712
41 FUR 42.026306620320987 11.276999999999999 6366.8799626252376
42 CLF 42.168419068669778 2.2599999999999998 6366.5077027825846
43 HRB 42.318520000610938 18.190000000000001 6366.5384395329220
44 NTS 42.941883428091430 358.43299999999999 6366.6502039223878
45 JSS 43.008916718343443 27.533000000000001 6366.6751518269930
46 YSS 43.242022197860500 142.71700000000001 6366.8319405667171
47 THY 43.292040010014283 17.893000000000001 6366.9705698680909
48 ODE 43.409089380048641 30.882999999999999 6366.9641715671605
49 SUA 45.512404286971886 26.253000000000000 6367.6928144596432
50 CAO 45.762364532656008 8.9299999999999997 6368.0520971961887
51 MMB 46.285260206666592 144.19300000000001 6367.9361667328349
52 VOR 46.409225026004840 132.03299999999999 6367.9433944075417
53 AGN 46.412218819338705 280.73000000000002 6368.1195117062061
54 PAG 47.676630077254302 24.177000000000000 6368.9713673464694
55 KEL 48.773843046154703 69.200000000000003 6368.8224966038160
56 ISK 49.127520269003462 29.062000000000001 6369.0833389421268
57 EBR 49.370286947659416 0.49299999999999999 6369.0930195021983
58 COI 49.967647212168202 351.57799999999997 6369.3631975963463
59 FRD 51.981889038191959 282.62700000000001 6370.0683097716501
60 SMG 52.419169236302842 334.35000000000002 6370.1575866037483
61 ALM 53.334515782947797 357.53300000000002 6370.5518306581125
62 SFS1 53.717769148575371 353.80000000000001 6370.6517871161059
63 KAK 53.953293336671237 140.19000000000000 6370.7336733699685
64 KSA 56.360723193770909 35.883000000000003 6371.5515534888464
65 SSO 56.607079721127853 135.93000000000001 6371.6953800018027
66 TUC2 57.993201244699080 249.27000000000001 6373.0317185672520
67 SSH 59.072938255792707 121.18700000000000 6372.5673788268250
68 HLW 60.295923747979927 31.329999999999998 6372.9861311653904
69 TAM 67.345093973993045 5.5270000000000001 6376.3236119095227
70 HON2 68.829947993473368 201.90000000000001 6374.3367214981927
71 TEO 70.375022746379798 260.81799999999998 6377.9938995354923
72 ABG 71.478233348988425 72.872000000000000 6375.9762230643128
73 SJG1 71.731867524427116 293.88299999999998 6376.0261458084142
74 MBO 75.700383127623056 343.04199999999997 6376.8312156769616
75 MUT 75.717282412928071 121.01500000000000 6376.8912467534647
76 KOD 79.837027993382506 77.462999999999994 6379.7909407201332
77 IBD 82.619187395446261 3.8999999999999999 6378.0823336796202
78 FUQ 84.566384396767333 286.26299999999998 6380.4872894588734
79 BNG 85.592584161683050 18.565000000000001 6378.4000747240052
80 BIN 94.238539112610042 15.367000000000001 6378.0195973737009
81 KUY 95.992907118319508 106.73300000000000 6377.9027293212621
82 ELI 101.57412055725932 27.466999999999999 6377.2719836330853
83 HUA 101.96673772806530 284.66000000000003 6380.5261877825405
84 API 103.71807251494005 188.22499999999999 6376.9306285416415
85 TAN 108.79930786166388 47.549999999999997 6377.2811700903194
86 LQA 111.96922719239228 294.39499999999998 6378.5810313134816
87 VSS 112.26474181644213 316.35000000000002 6375.5108030844758
88 WAT 120.13263785817345 115.90000000000001 6372.9674858951194
89 GNA 121.61095124841277 115.95000000000000 6372.3003672708537
90 HER 124.24575380849522 19.225000000000001 6371.3674533185922
91 TOO 127.34723419795935 145.46700000000001 6370.2418842160814
92 AML 132.95801785316485 172.72000000000000 6368.2192007900694
93 MCQ 144.31785848480661 158.94999999999999 6364.0075505741625
94 MIR 156.40917479535179 93.016999999999996 6360.1825990224679
95 MAW 157.46910996427891 62.881999999999998 6359.8904495745610
96 GDH1 20.894912700439576 306.48300000000000 6359.4602974915942
97 LVV 40.289714702070995 23.750000000000000 6366.0681535336807
98 TFS 48.099340960071707 44.704999999999998 6369.5524178193655
99 BJI 50.149437498639749 116.17500000000000 6369.3990521297010
100 AIA 155.09833644472857 295.74200000000002 6360.5377332970775
101 DRV 156.52470399242912 140.00700000000001 6360.1711374860042
102 HBA 165.41649421009231 333.39699999999999 6358.1313982608981
103 OAS 156.15803342113210 100.71700000000000 6360.2603986127006
104 BDE 26.151939113724307 214.15000000000001 6361.2694880123690
105 AMU 28.929645202703217 210.13300000000001 6361.7368056118821
106 REG 42.708759480908377 8.4499999999999993 6366.5634776157767
107 CNH1 46.142298842895244 125.29900000000001 6367.8438447450080
108 VLA 46.509184028903846 132.16700000000000 6368.2806655493450
109 LGR 47.741593659389459 357.50000000000000 6368.8845166206966
110 TKT 48.857745750121481 69.617000000000004 6369.6635599927422
111 TOL 50.306236828907750 355.95299999999997 6369.8886584849797
112 BLT 50.705734779230262 261.86700000000002 6369.9641594120676
113 QUE 59.979947389367233 66.950000000000003 6374.5140308544615
